state_short,state_name,notes
WY,Wyoming,
WV,West Virginia,
WI,Wisconsin,
WA,Washington,
VT,Vermont,
VA,Virginia,
UT,Utah,
TX,Texas,
TN,Tennessee,
SD,South Dakota,
SC,South Carolina,
RI,Rhode Island,
PA,Pennsylvania,
OR,Oregon,
OK,Oklahoma,
OH,Ohio,
NY,New York,
NV,Nevada,
NM,New Mexico,
NJ,New Jersey,
NH,New Hampshire,
NE,Nebraska,
ND,North Dakota,
NC,North Carolina,
MT,Montana,
MS,Mississippi,
MO,Missouri,
MN,Minnesota,
MI,Michigan,
ME,Maine,
MD,Maryland,
MA,Massachusetts,
LA,Louisiana,
KY,Kentucky,
KS,Kansas,
IN,Indiana,
IL,Illinois,
ID,Idaho,
IA,Iowa,
HI,Hawaii,
GA,Georgia,
FL,Florida,
DE,Delaware,
CT,Connecticut,
CO,Colorado,
CA,California,
AZ,Arizona,
AR,Arkansas,
AL,Alabama,
AK,Alaska,
